,brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn,4days,7days
604,Chanel,boy chanel clutch black,a1149475,2021-03-15,2021-03-15,4days,BA,Y,47330,57330
605,Chanel,boy chanel clutch black,a1148185,2021-03-04,2021-03-04,7days,BA,Y,47330,57330
606,Chanel,boy chanel clutch black,a1148097,2021-03-03,2021-03-03,7days,BA,Y,47330,57330
607,Chanel,boy chanel clutch black,a1147960,2021-03-01,2021-03-01,7days,BA,Y,47330,57330
608,Chanel,patent small beige,a145963,2019-10-08,2021-02-18,4days,BA,Y,47330,57330
609,Chanel,patent small beige,a1102611,2020-05-31,2021-03-24,4days,BA,Y,47330,57330
610,Louis Vuitton,monogram two way bag brown,a1145314,2021-02-03,2021-02-18,4days,BA,Y,46580,56580
611,Louis Vuitton,monogram two way bag brown,a1148075,2021-03-03,2021-03-03,7days,BA,Y,46580,56580
612,Louis Vuitton,verni mini clutch chain bag black,a1145662,2021-02-06,2021-02-17,4days,BA,Y,46580,56580
613,Louis Vuitton,verni mini clutch chain bag black,a1151301,2021-03-29,2021-03-31,4days,BA,Y,46580,56580
614,Louis Vuitton,verni mini clutch chain bag black,a1149970,2021-03-19,2021-03-19,4days,BA,Y,46580,56580
615,Celine,leather chain bag brown,a1135622,2020-12-06,2021-02-17,4days,BA,Y,45500,55500
616,Celine,leather chain bag brown,a1148022,2021-03-02,2021-03-23,4days,BA,Y,45500,55500
617,Louis Vuitton,damier ebene cross bag brown,a1146602,2021-02-16,2021-02-17,4days,BA,Y,46580,56580
618,Chanel,matelasse mademoiselle clutch bag black,a1146652,2021-02-17,2021-02-17,7days,BA,Y,47330,57330
619,Chanel,matelasse mademoiselle clutch bag black,a1150734,2021-03-24,2021-03-25,7days,BA,Y,47330,57330
620,Chanel,matelasse mademoiselle clutch bag black,a191314,2020-03-28,2021-03-08,7days,BA,Y,47330,57330
621,Chanel,basic logo tote bag black 2,a1146600,2021-02-16,2021-02-16,7days,BA,N,47330,57330
622,Louis Vuitton,verni clutch chain bag pink,a1146297,2021-02-13,2021-02-16,4days,BA,Y,46580,56580
623,Louis Vuitton,verni clutch chain bag pink,a1145051,2021-01-31,2021-02-02,4days,BA,Y,46580,56580
624,Rimowa,topaz 52.,a1146589,2021-02-16,2021-02-16,7days,BA,Y,39000,49000
625,Louis Vuitton,neonoe escale rainbow,a1146576,2021-02-16,2021-02-16,4days,BA,Y,46580,56580
626,Louis Vuitton,neonoe escale rainbow,a1150595,2021-03-23,2021-03-23,4days,BA,Y,46580,56580
627,Gucci,jackie 1961 hobo bag brown,a1113847,2020-08-18,2021-02-16,7days,BA,Y,46300,56300
628,Gucci,jackie 1961 hobo bag brown,a1145076,2021-02-01,2021-02-01,7days,BA,Y,46300,56300
629,Gucci,jackie 1961 hobo bag brown,a1131514,2020-11-18,2021-03-03,4days,BA,Y,46300,56300
630,Gucci,GG marmont quilted-leather belt bag,a1143874,2021-01-20,2021-02-16,7days,BA,Y,46300,56300
631,Gucci,GG marmont quilted-leather belt bag,a1151404,2021-03-30,2021-03-30,7days,BA,Y,46300,56300
632,Gucci,GG marmont quilted-leather belt bag,a1143318,2021-01-15,2021-03-03,7days,BA,Y,46300,56300
633,Louis Vuitton,chain pattern twist cross bag,a1146289,2021-02-13,2021-02-15,7days,BA,Y,46580,56580
634,Louis Vuitton,chain pattern twist cross bag,a1150183,2021-03-21,2021-03-24,7days,BA,Y,46580,56580
635,Louis Vuitton,chain pattern twist cross bag,a1149258,2021-03-13,2021-03-14,4days,BA,Y,46580,56580
636,Louis Vuitton,verni shoulder bag purple,a1145891,2021-02-09,2021-02-14,7days,BA,Y,46580,56580
637,Louis Vuitton,verni shoulder bag purple,a1148768,2021-03-09,2021-03-12,4days,BA,Y,46580,56580
638,Louis Vuitton,very shoulder bag black,a1145931,2021-02-09,2021-02-10,4days,BA,Y,46580,56580
639,Louis Vuitton,very shoulder bag black,a1149696,2021-03-16,2021-03-16,7days,BA,Y,46580,56580
640,Fendi,regular 2jours black,a1145924,2021-02-09,2021-02-10,4days,BA,Y,47820,57820
641,Louis Vuitton,favorite MM shoulder bag,a1145908,2021-02-09,2021-02-09,7days,BA,Y,46580,56580
642,Louis Vuitton,favorite MM shoulder bag,a1151129,2021-03-28,2021-03-29,7days,BA,Y,46580,56580
643,Louis Vuitton,favorite MM shoulder bag,a1149547,2021-03-16,2021-03-16,7days,BA,Y,46580,56580
644,Fendi,peekaboo tote bag beige,a1145888,2021-02-09,2021-02-09,4days,BA,Y,47820,57820
645,Louis Vuitton,logo enamel clutch black,a1145082,2021-02-01,2021-02-08,4days,BA,Y,46580,56580
646,Gucci,GG supreme clutch brown,a156051,2019-11-14,2021-02-08,4days,BA,Y,46300,56300
647,Gucci,GG supreme clutch brown,a1151499,2021-03-31,2021-03-31,4days,BA,Y,46300,56300
648,Gucci,GG marmont shoulder bag pink,a1145762,2021-02-07,2021-02-07,7days,BA,Y,46300,56300
649,Fendi,3jours two way bag beige,a1145641,2021-02-06,2021-02-06,4days,BA,Y,47820,57820
650,Miu Miu,matelasse shoulder bag black,a1145170,2021-02-02,2021-02-03,7days,BA,Y,39000,49000
651,Miu Miu,matelasse shoulder bag black,a1149914,2021-03-18,2021-03-18,4days,BA,Y,39000,49000
652,Chanel,boy chanel crossbody bag black,a1145060,2021-01-31,2021-02-03,4days,BA,Y,47330,57330
653,Chanel,boy chanel crossbody bag black,a1148192,2021-03-04,2021-03-08,4days,BA,Y,47330,57330
654,Yves Saint Laurent,chevron logo clutch bag black,a1144530,2021-01-26,2021-02-02,4days,BA,N,46500,56500
655,Louis Vuitton,verni mini clutch chain bag brown,a1145144,2021-02-01,2021-02-02,4days,BA,Y,46580,56580
656,Louis Vuitton,verni mini clutch chain bag brown,a1150577,2021-03-23,2021-03-23,7days,BA,Y,46580,56580
657,Louis Vuitton,verni mini clutch chain bag brown,a1138484,2020-12-20,2021-03-09,7days,BA,Y,46580,56580
658,Saint Laurent,monogram clutch black,a1148598,2021-03-08,2021-03-31,4days,BA,Y,45670,55670
659,Saint Laurent,monogram clutch black,a1149690,2021-03-16,2021-03-16,4days,BA,Y,45670,55670
660,Christian Dior,lucky badges handle bag black,a1151362,2021-03-30,2021-03-30,4days,BA,Y,45670,55670
661,Christian Dior,lucky badges handle bag black,a1148092,2021-03-03,2021-03-05,7days,BA,Y,45670,55670
662,Chanel,Tote beige bag,a1136536,2020-12-11,2021-03-30,7days,BA,Y,47330,57330
663,Chanel,Tote beige bag,a1149929,2021-03-18,2021-03-19,7days,BA,Y,47330,57330
664,Celine,Luggage pink bag,a1150941,2021-03-26,2021-03-29,7days,BA,Y,45500,55500
665,Celine,Luggage pink bag,a1149580,2021-03-16,2021-03-16,7days,BA,Y,45500,55500
666,Louis Vuitton,thames hobo shoulder bag brown,a1150260,2021-03-21,2021-03-28,7days,BA,Y,46580,56580
667,Celine,monogram cross body bag brown,a121532,2019-05-02,2021-03-26,7days,BA,Y,45500,55500
668,Celine,monogram cross body bag brown,a1148837,2021-03-10,2021-03-10,7days,BA,Y,45500,55500
669,Chanel,grand-shopping caviar black shoulder bag,a1150511,2021-03-23,2021-03-26,7days,BA,Y,47330,57330
670,Chanel,grand-shopping caviar black shoulder bag,a1148104,2021-03-03,2021-03-03,7days,BA,Y,47330,57330
671,Celine,trio bag black,a1150762,2021-03-25,2021-03-26,7days,BA,Y,45500,55500
672,Fendi,ff logo point tote bag,a194306,2020-04-06,2021-03-25,4days,BA,Y,47820,57820
673,Chanel,classic clutch green,a1150683,2021-03-24,2021-03-24,7days,BA,Y,47330,57330
674,Louis Vuitton,monogram tote bag brown,a1150588,2021-03-23,2021-03-24,7days,BA,N,46580,56580
675,Gucci,ophidia GG mini bag,a1149969,2021-03-19,2021-03-24,4days,BA,Y,46300,56300
676,Gucci,GG marmont belt bag bluegreen,a1150246,2021-03-21,2021-03-23,7days,BA,Y,46300,56300
677,Gucci,GG marmont belt bag bluegreen,a1147245,2021-02-23,2021-03-06,7days,BA,Y,46300,56300
678,Gucci,GG marmont cross bag bluegreen,a1149664,2021-03-16,2021-03-23,7days,BA,Y,46300,56300
679,Chanel,2.55 classic patent bag black,a1150446,2021-03-23,2021-03-23,7days,BA,Y,47330,57330
680,Gucci,mamont chain cross body bag black,a1147249,2021-02-23,2021-03-22,7days,BA,Y,46300,56300
681,Dior,croisiere patent lady bag pink,a1150326,2021-03-22,2021-03-22,7days,BA,Y,49000,59000
682,Gucci,dionysus bag,a1149629,2021-03-16,2021-03-19,7days,BA,Y,46300,56300
683,Gucci,Mamont top handle black bag,a1149573,2021-03-16,2021-03-19,7days,BA,N,46300,56300
684,Hermes,fabric fourre tout MM tote bag,a197203,2020-04-19,2021-03-18,7days,BA,N,39000,49000
685,Louis Vuitton,studded shoulder bag black,a1123025,2020-10-07,2021-03-18,7days,BA,Y,46580,56580
686,Chanel,chevron quilted clutch bag black,a1149790,2021-03-17,2021-03-18,7days,BA,Y,47330,57330
687,Gucci,monogram backpack brown,a1149535,2021-03-16,2021-03-16,7days,BA,N,46300,56300
688,Saint Laurent,monogram shoulder bag brown,a1147934,2021-03-01,2021-03-15,4days,BA,Y,45670,55670
689,Gucci,GG soho chain clutch bag black,a1147854,2021-02-28,2021-03-09,4days,BA,Y,46300,56300
690,Chanel,unique pattern boy cross bag,a1147817,2021-02-28,2021-03-03,7days,BA,Y,47330,57330
691,Yves Saint Laurent,chevron quilted shoulder bag black,a195329,2020-04-10,2021-03-03,4days,BA,Y,46500,56500
