,brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn,4days,7days
228,Fendi,pattern hobo chain bag gray,a1149889,2021-03-18,2021-03-21,4days,BA,Y,47820,57820
229,Fendi,logo point leather tote bag,a146384,2019-10-10,2021-03-20,4days,BA,Y,47820,57820
230,Salvatore Ferragamo,ginny cross bag black,a1148142,2021-03-03,2021-03-20,7days,BA,Y,39000,49000
231,Prada,daino shoulder bag skin,a1149583,2021-03-16,2021-03-19,4days,BA,N,39000,49000
232,Dior,croisiere patent lady bag navy,a1149637,2021-03-16,2021-03-19,7days,BA,Y,49000,59000
233,Salvatore Ferragamo,ginny mini bag black,a1149922,2021-03-18,2021-03-19,4days,BA,Y,39000,49000
234,Furla,metropolis cross bag cream,a146978,2019-10-13,2021-03-19,4days,BA,Y,33500,43500
235,Miu Miu,matelasse cross body bag black,a1149847,2021-03-18,2021-03-18,4days,BA,Y,39000,49000
236,Prada,striped strap cross bag,a1149667,2021-03-16,2021-03-18,4days,BA,Y,39000,49000
237,Louis Vuitton,monogram milla pochette MM,a1149467,2021-03-15,2021-03-18,4days,BA,Y,46580,56580
238,Gucci,GG marmont leather belt bag 2,a1149833,2021-03-18,2021-03-18,7days,BA,Y,46300,56300
239,Saint Laurent,leather tassel cross body bag gray,a1149829,2021-03-18,2021-03-18,4days,BA,Y,45670,55670
240,Balenciaga,motor city bag grey,a1149797,2021-03-17,2021-03-18,7days,BA,N,39000,49000
241,Gucci,small logo pointed cross bag black,a1149402,2021-03-15,2021-03-18,7days,BA,Y,46300,56300
242,Celine,luggage bag black,a1143474,2021-01-17,2021-03-17,4days,BA,Y,45500,55500
243,Givenchy,pandora small black,a1149759,2021-03-17,2021-03-17,7days,BA,Y,35730,45730
244,Gucci,microssima emily mini bag black,a1133478,2020-11-26,2021-03-17,4days,BA,Y,46300,56300
245,Yves Saint Laurent,cabas chyc large black 2,a1149756,2021-03-17,2021-03-17,4days,BA,Y,46500,56500
246,Delvaux,brillant GM satchel bag black,a1148167,2021-03-04,2021-03-17,4days,BA,Y,52330,62330
247,Red Valentino,White clutch bag,a1114314,2020-08-19,2021-03-17,4days,BA,Y,37330,47330
248,Rogervivier,classic chain tote bag cream,a1149207,2021-03-13,2021-03-17,4days,BA,Y,39000,49000
249,Gucci,dionysus cross bag,a158561,2019-11-26,2021-03-17,7days,BA,Y,46300,56300
250,Chloe,daria tote bag brown,a1148266,2021-03-05,2021-03-17,4days,BA,Y,35150,45150
251,Louis Vuitton,alma epi pm tote bag navy,a1149390,2021-03-15,2021-03-17,7days,BA,Y,46580,56580
252,Louis Vuitton,flap monogram clutch bag,a1149540,2021-03-16,2021-03-17,4days,BA,Y,46580,56580
253,Valentino,rockstud tote bag black,a1149671,2021-03-16,2021-03-16,7days,BA,Y,37640,47640
254,Gucci,scarf tote bag,a1149658,2021-03-16,2021-03-16,7days,BA,Y,46300,56300
255,Miu Miu,buckle detail tote bag orange,a1149584,2021-03-16,2021-03-16,4days,BA,Y,39000,49000
256,Salvatore Ferragamo,vara leather cross bag black,a1149604,2021-03-16,2021-03-16,4days,BA,N,39000,49000
257,Gucci,logo pointed cross bag,a1148361,2021-03-06,2021-03-15,4days,BA,Y,46300,56300
258,Fendi,stripe pattern two way bucket bag brown,a1110964,2020-08-10,2021-03-15,4days,BA,N,47820,57820
259,Saint Laurent,monogram clutch navy,a1149501,2021-03-15,2021-03-15,4days,BA,Y,45670,55670
260,Yves Saint Laurent,kate chain bag red,a1149413,2021-03-15,2021-03-15,7days,BA,Y,46500,56500
261,Prada,logo point suede bag burgundy,a1149465,2021-03-15,2021-03-15,7days,BA,Y,39000,49000
262,Prada,saffiano cross chain bag black,a1146676,2021-02-17,2021-03-15,4days,BA,Y,39000,49000
263,Gucci,leather point cross bag,a1149307,2021-03-14,2021-03-14,7days,BA,Y,46300,56300
264,Valentino,garavani crossboady bag red,a1149170,2021-03-13,2021-03-13,7days,BA,Y,37640,47640
265,Yves Saint Laurent,monogram envelope chain cross bag,a1149135,2021-03-12,2021-03-13,7days,BA,Y,46500,56500
266,Fendi,back to school bag 1,a1149094,,2021-03-12,7days,BA,Y,47820,57820
267,Prada,saffiano lux chain bag,a1148775,2021-03-09,2021-03-12,7days,BA,Y,39000,49000
268,Gucci,dionysus cross bag black,a1149062,2021-03-12,2021-03-12,4days,BA,Y,46300,56300
269,Chloe,drew bag beige,a1148373,2021-03-06,2021-03-11,4days,BA,Y,35150,45150
270,Gucci,dionysos velvet chain shoulder bag navy,a1137244,2020-12-15,2021-03-11,7days,BA,Y,46300,56300
271,Prada,top handle corssbody bag black,a1148935,2021-03-11,2021-03-11,7days,BA,Y,39000,49000
272,Cesare Paciotti,fonte clutch,a111030,2018-11-03,2021-03-11,4days,BA,N,34000,44000
273,Valentino,studded two way bag black,a137904,2019-09-03,2021-03-11,4days,BA,Y,37640,47640
274,Salvatore Ferragamo,sophia gancini tote bag,a1148393,2021-03-06,2021-03-10,4days,BA,Y,39000,49000
275,Gucci,flap cross bag grey,a1148865,2021-03-10,2021-03-10,7days,BA,Y,46300,56300
276,Burberry,vintage check shoulder bag,a1148134,2021-03-03,2021-03-10,4days,BA,Y,36120,46120
277,Prada,saffiano leather mini crossbody bag,a1127412,2020-10-28,2021-03-10,4days,BA,Y,39000,49000
278,Celine,luggage bag black,a1148575,2021-03-07,2021-03-10,4days,BA,Y,45500,55500
279,Prada,quilted belt bag black,a1148428,2021-03-06,2021-03-09,4days,BA,N,39000,49000
280,Gucci,padlock GG canvas chain bag 2,a1148482,2021-03-07,2021-03-09,7days,BA,Y,46300,56300
281,Gucci,mamont chain bag black,a1148504,2021-03-07,2021-03-09,4days,BA,Y,46300,56300
282,Yves Saint Laurent,chevron pattern chain bag beige,a153939,2019-11-05,2021-03-09,7days,BA,Y,46500,56500
283,Christian Dior,letter pointed tote bag,a1114519,2020-08-20,2021-03-09,4days,BA,Y,45670,55670
284,Yves Saint Laurent,belle de jour clutch bag,a1148642,2021-03-08,2021-03-08,7days,BA,Y,46500,56500
285,Gucci,jacquard shoulder tote bag,a1148176,2021-03-04,2021-03-07,4days,BA,Y,46300,56300
286,Prada,logo hobo bag black,a1147639,2021-02-26,2021-03-07,4days,BA,Y,39000,49000
287,Chanel,broach point cross bag khaki,a1148181,2021-03-04,2021-03-07,7days,BA,Y,47330,57330
288,Celine,cabas tote bag black,a1148363,2021-03-06,2021-03-06,7days,BA,Y,45500,55500
289,Mulberry,bayswater dark brown tote bag 2,a1135907,2020-12-08,2021-03-06,4days,BA,Y,35150,45150
290,Fendi,two way bucket bag white,a147785,2019-10-16,2021-03-06,7days,BA,Y,47820,57820
291,Burberry,check pattern flap tote bag,a1147456,2021-02-24,2021-03-06,7days,BA,Y,36120,46120
292,Salvatore Ferragamo,vara leather cross bag black,a1147505,2021-02-25,2021-03-05,4days,BA,Y,39000,49000
